Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.40452617,1.6276106e-09,815.1537,81.51537,3894.3936,2111.1562,-1811.1029,1775.082,851.7819,2797.9114,-59.248203,1833.3767,832.1895,2821.2864,-105.51423,0.7662881,9.308893,61.509018,-15.4823,0.17718649,0.982371,5.6912556,-6.2897177,-0.4904798,0.2379261,0.06250474,-1.9399132,0.6580809,6.829762e-10,961.7963944992225,967.2972509559951,1002.146872746886,868000,1367822,0,331.93468641501386,74.94266425597016,6.274351882864721,413.15170255384874,90072.67259767052,216
0.92941964,1.2304057e-09,812.4521,81.24521,4254.8105,1509.8257,-1820.2123,1778.3608,862.22424,2832.5867,-134.95306,1810.1301,851.4715,2833.2502,-99.19807,0.8196775,8.983474,47.960556,-19.679901,0.113996536,0.9966731,4.931245,-5.339167,-0.49063087,0.2334825,0.34686387,-1.7284055,0.40755945,5.5627786e-10,1000.089109873861,999.0796076484738,1000.1027036072949,872000,1373010,0,332.5696633979678,75.74089181696763,6.506353006872814,414.81690822180826,90485.96749659424,217
0.7637452,1.029301e-09,815.6383,81.563835,4501.2373,1775.4979,-1804.5957,1751.1399,864.3652,3134.294,-81.51224,1792.3899,853.1416,2825.1602,-88.17295,0.5563538,8.742869,43.5947,-15.398056,0.12489772,0.97512054,5.9656987,-5.8222723,-0.49492976,0.2491764,0.38261646,-2.0336397,0.8500775,9.449392e-10,985.7343375830602,983.0488943082795,1001.2033339731671,876000,1378010,0,328.6325898549985,74.22020537499338,6.332360279979184,409.1851555099711,90896.99709082424,218
0.76690525,1.7752481e-09,807.33105,80.73311,3856.764,1385.3146,-1874.9226,1834.3268,844.3838,2816.8757,-55.488396,1870.8818,830.78894,2831.255,-64.97616,-0.20772989,8.580978,50.21628,-15.740092,0.12293078,0.9371871,4.8059473,-5.7024364,-0.4954499,0.2493364,0.19498627,-2.0939515,0.24300842,3.2588168e-10,1003.2258560835954,1002.6533755170456,1009.3133183544791,880000,1383363,0,332.1573223560117,76.06589049904142,6.747778399032541,414.9709912540857,91308.82351905317,219
0.3229465,1.0254186e-09,809.6818,80.968185,4200.439,1445.9093,-1821.8397,1777.3826,850.3566,2816.693,-58.969067,1825.8472,834.7202,2823.787,-41.677536,0.22689421,8.536727,59.20848,-15.232138,0.14177504,0.9596498,5.1163507,-6.4982953,-0.4810442,0.24513035,0.021703005,-2.045209,0.19806743,6.3132405e-10,984.3333385912325,982.8971118797594,990.1968596899787,884000,1388363,0,334.8492017899989,72.92275160597637,6.311891863006167,414.08384525898146,91725.93761098728,220
0.29324648,1.1220754e-09,815.4093,81.54093,3579.9023,1554.7904,-1873.6421,1832.6282,862.35913,2797.0188,-78.137955,1885.4824,832.848,2811.5781,-39.76552,0.4715535,9.15567,49.58713,-16.053925,0.10914291,0.9719866,5.421604,-7.3146667,-0.5004693,0.2575916,0.023928791,-1.9045564,0.34136802,4.486474e-10,979.9320139754628,987.7496444448323,990.1847041624076,888000,1393363,0,334.40166169800796,75.95632842305349,6.2684155638562515,416.6264056849177,92141.51275845617,221
0.3017358,1.3962225e-09,827.2584,82.725845,4202.396,1552.8196,-1889.8029,1852.0558,850.3208,2827.647,-132.0278,1890.7878,834.8806,2848.0168,-81.97472,0.39398828,8.82263,44.483665,-16.386488,0.12618497,0.97345865,6.3046937,-5.2309265,-0.48128387,0.23846392,0.0865585,-2.147276,0.3706979,7.467575e-10,983.07008792285,979.6997469512336,1010.0657409436868,892000,1398363,0,332.06495636701584,74.9054951100261,6.299040520912968,413.2694919979549,92551.7347065832,222
0.6433433,1.0877e-09,813.1443,81.31443,4396.056,1403.0537,-1833.4877,1791.2134,871.4033,2833.9954,-69.41391,1831.2081,858.1151,2843.7188,-37.031506,0.814458,8.981468,61.47558,-17.4392,0.13280044,0.98862785,4.991729,-5.9986987,-0.49348736,0.24144502,0.06665326,-1.9286047,0.47281656,6.546991e-10,1001.8638503211973,996.2401017065647,997.3851634436561,896000,1403363,0,332.2437909549917,71.8593989390065,6.323623348085675,410.4268132420839,92963.1328379722,223
0.7226748,1.1284115e-09,819.9281,81.99281,4219.033,1629.6328,-1837.2792,1785.8716,855.13525,2805.01,-74.84341,1843.0966,834.9804,2832.5354,-51.27195,0.65969896,9.079294,54.721703,-14.906698,0.16555993,0.9796401,4.6675262,-5.7881374,-0.48777744,0.24482986,0.115002215,-2.0860887,0.5997795,5.2233773e-10,998.9463390636663,997.0090263154119,1004.4551948589681,900000,1408363,0,335.018330744002,72.83181131002493,6.518730185052846,414.3688722390798,93377.24900917534,224
0.37116322,1.1179382e-09,822.51624,82.251625,4295.2856,1544.506,-1857.4487,1808.0181,862.3096,2797.1418,-56.50211,1857.9547,840.77545,2802.4434,-52.154938,0.46074635,9.025518,56.03675,-17.019238,0.14803523,0.976989,4.61456,-6.766889,-0.47966003,0.2396379,-0.011132836,-1.8941941,0.66471183,5.913087e-10,990.5578810183858,987.1538923102288,1004.594169554033,904000,1413363,0,332.47979541600216,72.5803861960303,6.290255436906591,411.35043704893906,93788.40990497533,225
